signal,program_code,exhibition_date,program_start_time,average_audience
SP1,MEPR,2020-04-25,2020-04-25T17:31:00.000Z,1022368.3571428572
DF,TARA,2020-05-08,2020-05-08T18:00:00.000Z,109228.07766990291
BH,SAME,2020-06-11,2020-06-11T05:06:00.000Z,96951.5142857143
SP1,N19H,2020-04-29,2020-04-29T22:40:00.000Z,2813712.06122449
PE1,JNAC,2020-06-18,2020-06-18T23:30:00.000Z,847594.3797468354
BH,N19H,2020-04-22,2020-04-22T22:38:00.000Z,940384.2156862745
BH,PTV1,2020-06-05,2020-06-05T15:01:00.000Z,211398.80722891566
BH,BPRA,2020-06-05,2020-06-05T09:00:00.000Z,127930.28859060403
SP1,FATI,2020-06-30,2020-06-30T12:59:00.000Z,549477.5867768595
DF,VALE,2020-06-23,2020-06-23T19:36:00.000Z,206337.36470588236
RJ,HORA,2020-05-29,2020-05-29T07:00:00.000Z,272389.86666666664
DF,FANT,2020-06-28,2020-06-28T22:59:00.000Z,199009.34806629835
DF,FGGE,2020-06-28,2020-06-28T18:54:00.000Z,115971.47967479675
PE1,PTV1,2020-06-02,2020-06-02T15:00:00.000Z,335731.0
PE1,JNAC,2020-06-01,2020-06-01T23:30:00.000Z,765170.9538461538
BH,JNAS,2020-06-20,2020-06-20T23:30:00.000Z,621617.7272727273
BH,COR2,2020-04-25,2020-04-25T08:08:00.000Z,51674.90666666667
DF,JHOJ,2020-05-26,2020-05-26T16:25:00.000Z,177285.73626373627
PE1,SAME,2020-06-09,2020-06-09T04:57:00.000Z,64493.891304347824
RJ,SERA,2020-04-11,2020-04-11T08:55:00.000Z,309430.8888888889
SP1,HORA,2020-05-11,2020-05-11T07:00:00.000Z,388625.76666666666
PE1,JHOJ,2020-05-22,2020-05-22T16:25:00.000Z,318680.8131868132
DF,JNAC,2020-04-23,2020-04-23T23:30:00.000Z,339673.43076923076
PE1,CASA,2020-06-13,2020-06-13T09:50:00.000Z,74112.51779935275
RJ,COR1,2020-05-08,2020-05-08T05:06:00.000Z,339010.8534482759
SP1,TARA,2020-04-13,2020-04-13T18:00:00.000Z,1535498.19
BH,N18H,2020-04-10,2020-04-10T21:31:00.000Z,628604.3684210526
BH,JHOJ,2020-05-14,2020-05-14T16:25:00.000Z,335366.4731182796
BH,NBRA,2020-04-09,2020-04-09T11:30:00.000Z,211847.14130434784
PE1,ESJC,2020-06-06,2020-06-06T17:06:00.000Z,241985.08695652173
DF,BPRA,2020-06-08,2020-06-08T09:00:00.000Z,92035.60402684564
DF,JGLO,2020-04-09,2020-04-09T03:04:00.000Z,73353.26785714286
DF,N18S,2020-06-20,2020-06-20T21:30:00.000Z,118802.0
BH,BIGB,2020-04-15,2020-04-16T01:43:00.000Z,834762.6571428571
RJ,COR2,2020-05-16,2020-05-16T06:47:00.000Z,235783.1325301205
SP1,EMPR,2020-05-24,2020-05-24T10:56:00.000Z,687587.8648648649
SP1,DOMA,2020-05-10,2020-05-11T01:47:00.000Z,1277709.3148148148
PE1,JNAC,2020-05-22,2020-05-22T23:30:00.000Z,771447.2
BH,SHOV,2020-05-10,2020-05-10T15:24:00.000Z,208032.01470588235
DF,COR1,2020-06-29,2020-06-29T05:45:00.000Z,36579.81333333333
RJ,COR2,2020-05-02,2020-05-02T07:21:00.000Z,231877.68932038834
PE1,CORO,2020-04-20,2020-04-20T12:55:00.000Z,199590.16981132075
BH,PTV1,2020-06-01,2020-06-01T15:00:00.000Z,210341.63095238095
PE1,PTV2,2020-05-01,2020-05-01T22:16:00.000Z,940145.5714285715
RJ,COR2,2020-06-05,2020-06-05T07:19:00.000Z,269881.94623655913
RJ,ESPO,2020-05-17,2020-05-17T13:00:00.000Z,575689.14
PE1,MISA,2020-04-26,2020-04-26T09:24:00.000Z,112261.62903225806
PE1,SAME,2020-05-18,2020-05-18T04:52:00.000Z,208390.15217391305
SP1,COR1,2020-06-15,2020-06-15T05:37:00.000Z,520096.8313253012
BH,PTV1,2020-04-30,2020-04-30T15:00:00.000Z,333247.9529411765
BH,FATI,2020-04-30,2020-04-30T13:45:00.000Z,126928.41333333333
PE1,COR2,2020-05-30,2020-05-30T07:18:00.000Z,35120.769841269845
PE1,FGGE,2020-04-19,2020-04-19T18:45:00.000Z,479458.8768115942
BH,SERA,2020-05-02,2020-05-02T08:56:00.000Z,43460.32075471698
RJ,N19H,2020-05-27,2020-05-27T22:43:00.000Z,2230283.065217391
RJ,PTV1,2020-05-27,2020-05-27T15:00:00.000Z,1015232.6071428572
