signal,program_code,exhibition_date,program_start_time,average_audience
SP1,TARA,2020-06-04,2020-06-04T17:57:00.000Z,1074267.8846153845
PE1,COR1,2020-04-30,2020-04-30T05:44:00.000Z,36580.84210526316
RJ,N18H,2020-04-20,2020-04-20T21:38:00.000Z,1591544.78125
SP1,TELA,2020-06-01,2020-06-02T01:19:00.000Z,1917634.7279411764
BH,MALH,2020-04-14,2020-04-14T21:05:00.000Z,779705.71875
RJ,TARA,2020-05-13,2020-05-13T18:00:00.000Z,918532.4509803922
RJ,JGLO,2020-05-19,2020-05-19T03:13:00.000Z,826339.0327868853
DF,NBRA,2020-04-30,2020-04-30T11:30:00.000Z,93476.0
BH,TARA,2020-06-22,2020-06-22T18:01:00.000Z,300889.358490566
SP1,BIGB,2020-04-21,2020-04-22T01:33:00.000Z,3196618.037037037
DF,JGLO,2020-05-04,2020-05-04T03:43:00.000Z,66217.83333333333
SP1,N18S,2020-06-20,2020-06-20T21:35:00.000Z,1435448.7368421052
RJ,TARA,2020-05-01,2020-05-01T17:58:00.000Z,1025256.5979381443
RJ,VALE,2020-04-27,2020-04-27T19:33:00.000Z,1667944.5842696629
RJ,REPO,2020-05-22,2020-05-23T01:47:00.000Z,1436148.9
SP1,TARA,2020-05-26,2020-05-26T17:57:00.000Z,1231910.7765957448
BH,COR1,2020-05-22,2020-05-22T05:58:00.000Z,58833.92134831461
PE1,BIAL,2020-06-08,2020-06-08T04:25:00.000Z,109703.375
PE1,FATI,2020-06-08,2020-06-08T12:59:00.000Z,143119.25409836066
BH,SAME,2020-06-05,2020-06-05T05:02:00.000Z,59443.382978723406
PE1,FATI,2020-04-27,2020-04-27T13:45:00.000Z,256128.77631578947
DF,BPRA,2020-04-10,2020-04-10T09:00:00.000Z,43166.92617449664
BH,SAME,2020-04-28,2020-04-28T04:17:00.000Z,382462.2083333333
PE1,TARA,2020-05-05,2020-05-05T17:57:00.000Z,409964.92553191487
PE1,HORA,2020-04-21,2020-04-21T07:00:00.000Z,94381.025
PE1,PTV1,2020-06-24,2020-06-24T15:00:00.000Z,317567.8352941176
RJ,SSUP,2020-06-19,2020-06-20T02:07:00.000Z,946963.6170212766
BH,AUTO,2020-05-10,2020-05-10T12:14:00.000Z,225178.5483870968
SP1,PTV1,2020-04-20,2020-04-20T15:00:00.000Z,1273260.7976190476
RJ,SERA,2020-05-02,2020-05-02T08:56:00.000Z,228074.24528301886
BH,JGLO,2020-06-24,2020-06-24T03:19:00.000Z,69981.77049180328
SP1,EMPR,2020-05-10,2020-05-10T10:41:00.000Z,517645.1891891892
RJ,BPRA,2020-05-08,2020-05-08T09:00:00.000Z,556131.7046979866
DF,BIGB,2020-04-13,2020-04-14T01:31:00.000Z,357879.11627906974
DF,JNAC,2020-04-13,2020-04-13T23:30:00.000Z,308152.1379310345
PE1,N18H,2020-06-05,2020-06-05T21:37:00.000Z,618047.1428571428
RJ,VALE,2020-06-23,2020-06-23T19:33:00.000Z,1537686.2988505748
DF,MALH,2020-04-22,2020-04-22T21:03:00.000Z,231864.1935483871
RJ,TNOB,2020-04-14,2020-04-15T02:32:00.000Z,1109786.4545454546
RJ,JHOJ,2020-06-29,2020-06-29T16:25:00.000Z,1059866.775510204
PE1,JNAC,2020-05-14,2020-05-14T23:30:00.000Z,795658.1842105263
BH,CORO,2020-04-16,2020-04-16T13:02:00.000Z,142382.66101694916
PE1,N20H,2020-05-13,2020-05-14T00:39:00.000Z,873782.4375
RJ,HORA,2020-04-20,2020-04-20T07:00:00.000Z,324228.075
BH,BIGB,2020-04-18,2020-04-19T01:37:00.000Z,705328.6071428572
DF,SUCI,2020-05-02,2020-05-02T03:44:00.000Z,32508.55
BH,COR1,2020-06-22,2020-06-22T04:53:00.000Z,79752.1968503937
RJ,COR1,2020-06-16,2020-06-16T05:37:00.000Z,363780.4096385542
RJ,JHOJ,2020-06-16,2020-06-16T16:25:00.000Z,998104.0638297872
BH,INDD,2020-05-31,2020-05-31T10:34:00.000Z,122776.18181818182
BH,N20H,2020-05-25,2020-05-26T00:35:00.000Z,815692.8387096775
SP1,N19H,2020-04-30,2020-04-30T22:40:00.000Z,2736120.7551020407
RJ,PTV1,2020-05-01,2020-05-01T15:00:00.000Z,1098854.8095238095
RJ,JHOJ,2020-06-10,2020-06-10T16:25:00.000Z,869857.6421052632
BH,NBRA,2020-06-02,2020-06-02T11:30:00.000Z,105228.33333333333
BH,CORO,2020-04-24,2020-04-24T12:50:00.000Z,157177.35714285713
SP1,MALH,2020-05-01,2020-05-01T21:12:00.000Z,1787478.8461538462
DF,N18H,2020-06-05,2020-06-05T21:36:00.000Z,179242.33333333334
PE1,VALE,2020-04-24,2020-04-24T19:42:00.000Z,680655.2086956522
PE1,FATI,2020-06-29,2020-06-29T12:59:00.000Z,228475.15702479339
PE1,JHOJ,2020-06-29,2020-06-29T16:25:00.000Z,283024.1530612245
BH,NBRA,2020-04-22,2020-04-22T11:30:00.000Z,206912.78481012658
PE1,PTV2,2020-04-27,2020-04-27T22:09:00.000Z,961164.8
DF,BIAL,2020-05-26,2020-05-26T04:17:00.000Z,45132.70731707317
DF,FATI,2020-05-26,2020-05-26T13:00:00.000Z,82322.525
RJ,COR1,2020-04-11,2020-04-11T05:40:00.000Z,473423.1238938053
SP1,JGLO,2020-05-11,2020-05-11T04:13:00.000Z,695988.6896551724
BH,JNAC,2020-06-04,2020-06-04T23:30:00.000Z,804577.546875
SP1,TNOB,2020-06-09,2020-06-10T02:27:00.000Z,1161144.347826087
SP1,JHOJ,2020-06-11,2020-06-11T16:25:00.000Z,1069142.2747252746
RJ,JGLO,2020-04-17,2020-04-17T03:18:00.000Z,801956.3870967742
RJ,JNAC,2020-05-08,2020-05-08T23:30:00.000Z,1866761.234375
SP1,SAME,2020-05-29,2020-05-29T04:26:00.000Z,533365.9361702128
SP1,COR2,2020-05-29,2020-05-29T07:18:00.000Z,333465.63157894736
RJ,PTV1,2020-06-24,2020-06-24T15:00:00.000Z,904328.3928571428
DF,TARA,2020-06-26,2020-06-26T18:02:00.000Z,106694.213592233
DF,N19S,2020-05-30,2020-05-30T22:43:00.000Z,318285.9347826087
BH,NBRA,2020-04-15,2020-04-15T11:30:00.000Z,191226.0989010989
BH,PTV1,2020-05-13,2020-05-13T15:02:00.000Z,311309.6951219512
SP1,N18H,2020-05-28,2020-05-28T21:32:00.000Z,1532798.1944444445
BH,MEPR,2020-05-30,2020-05-30T18:20:00.000Z,303043.0689655172
BH,N18S,2020-05-02,2020-05-02T21:42:00.000Z,744329.6285714286
RJ,N20H,2020-06-08,2020-06-09T00:38:00.000Z,2233410.1276595746
RJ,VALE,2020-05-21,2020-05-21T19:40:00.000Z,1322312.3780487804
SP1,N19H,2020-04-23,2020-04-23T22:42:00.000Z,2756597.489361702
SP1,BIAL,2020-06-02,2020-06-02T04:10:00.000Z,845045.6923076923
SP1,JNAS,2020-06-20,2020-06-20T23:30:00.000Z,2412341.212121212
PE1,DOMA,2020-05-24,2020-05-25T01:51:00.000Z,200927.07936507938
BH,N19S,2020-05-09,2020-05-09T22:39:00.000Z,877470.72
BH,SAME,2020-05-08,2020-05-08T04:19:00.000Z,168782.89130434784
PE1,NBRA,2020-05-06,2020-05-06T11:30:00.000Z,248823.14814814815
RJ,MALH,2020-06-10,2020-06-10T21:01:00.000Z,1393107.96875
DF,N20H,2020-06-23,2020-06-24T00:32:00.000Z,386317.25925925927
PE1,TNOB,2020-05-26,2020-05-27T02:33:00.000Z,176660.3260869565
RJ,MALH,2020-06-01,2020-06-01T21:04:00.000Z,1329845.6538461538
BH,JHOJ,2020-04-27,2020-04-27T16:25:00.000Z,335435.13
PE1,PTV1,2020-04-25,2020-04-25T15:00:00.000Z,392122.7882352941
PE1,PT2S,2020-04-25,2020-04-25T22:17:00.000Z,831873.3461538461
PE1,PREG,2020-04-23,2020-04-24T02:36:00.000Z,354605.64285714284
PE1,N19H,2020-06-19,2020-06-19T22:43:00.000Z,951670.3913043478
DF,N20H,2020-04-20,2020-04-21T00:35:00.000Z,389750.25
BH,COR2,2020-05-22,2020-05-22T07:28:00.000Z,32557.920454545456
BH,HORA,2020-05-22,2020-05-22T07:00:00.000Z,34513.00833333333
DF,N18S,2020-05-16,2020-05-16T21:20:00.000Z,165902.02325581395
BH,MALH,2020-05-04,2020-05-04T21:03:00.000Z,729586.7857142857
BH,COR3,2020-05-15,2020-05-15T07:40:00.000Z,42942.31081081081
BH,N20H,2020-04-24,2020-04-25T01:06:00.000Z,962632.7580645161
BH,MALH,2020-05-21,2020-05-21T21:03:00.000Z,708575.448275862
RJ,N19H,2020-04-09,2020-04-09T22:43:00.000Z,2022872.152173913
BH,BPRA,2020-06-30,2020-06-30T09:00:00.000Z,62295.040268456374
BH,VALE,2020-06-30,2020-06-30T19:41:00.000Z,727912.6746987952
DF,JNAC,2020-06-30,2020-06-30T23:30:00.000Z,412093.7536231884
DF,FGGE,2020-05-10,2020-05-10T19:05:00.000Z,65104.19327731092
DF,N20S,2020-05-09,2020-05-10T00:51:00.000Z,341817.6615384615
PE1,JNAC,2020-06-24,2020-06-24T23:30:00.000Z,664741.3
SP1,JNAS,2020-06-27,2020-06-27T23:30:00.000Z,2535501.1764705884
SP1,AUTO,2020-06-14,2020-06-14T12:31:00.000Z,811278.1034482758
SP1,SHOV,2020-05-10,2020-05-10T15:24:00.000Z,754077.3529411765
BH,PTV1,2020-04-10,2020-04-10T15:01:00.000Z,319325.6785714286
SP1,TARA,2020-04-15,2020-04-15T17:56:00.000Z,1288383.1262135922
PE1,FGGE,2020-06-07,2020-06-07T18:49:00.000Z,298859.0681818182
DF,JHOJ,2020-05-22,2020-05-22T16:25:00.000Z,160048.52222222224
PE1,BPRA,2020-05-11,2020-05-11T09:00:00.000Z,210724.74496644296
RJ,SERA,2020-06-06,2020-06-06T08:53:00.000Z,236360.48214285713
DF,DOMA,2020-05-24,2020-05-25T01:51:00.000Z,110287.368
RJ,SHO5,2020-04-09,2020-04-10T02:21:00.000Z,983887.3333333334
DF,COR3,2020-06-20,2020-06-20T08:05:00.000Z,23090.630136986303
DF,CASA,2020-06-20,2020-06-20T09:50:00.000Z,49432.125806451615
DF,JNAC,2020-04-30,2020-04-30T23:30:00.000Z,366550.875
DF,TARA,2020-05-01,2020-05-01T17:58:00.000Z,167884.20618556702
BH,N20H,2020-04-17,2020-04-18T00:40:00.000Z,1003169.7246376812
DF,PT2S,2020-04-25,2020-04-25T22:17:00.000Z,320471.92
PE1,FATI,2020-05-25,2020-05-25T12:58:00.000Z,228984.5
BH,JHOJ,2020-05-23,2020-05-23T16:10:00.000Z,348778.7301587302
SP1,SSAB,2020-05-16,2020-05-16T16:56:00.000Z,952639.0654205608
RJ,CORO,2020-05-14,2020-05-14T12:48:00.000Z,456571.7272727273
RJ,CORO,2020-04-14,2020-04-14T13:00:00.000Z,466684.49166666664
DF,N18H,2020-06-12,2020-06-12T21:30:00.000Z,188475.42105263157
DF,PTV1,2020-06-27,2020-06-27T14:59:00.000Z,145601.30303030304
RJ,MBOA,2020-04-18,2020-04-18T18:16:00.000Z,915586.9555555555
RJ,PTV1,2020-04-27,2020-04-27T15:01:00.000Z,1054298.939759036
SP1,COR1,2020-06-12,2020-06-12T06:15:00.000Z,357765.98125
RJ,COR1,2020-05-23,2020-05-23T05:15:00.000Z,352302.2873563218
PE1,HORA,2020-05-29,2020-05-29T07:00:00.000Z,66670.73553719008
PE1,PTV1,2020-05-12,2020-05-12T15:01:00.000Z,350538.2380952381
PE1,SUCI,2020-06-20,2020-06-20T04:57:00.000Z,72932.57142857143
SP1,CINE,2020-05-20,2020-05-21T01:35:00.000Z,1760626.9491525423
RJ,TARA,2020-06-15,2020-06-15T18:00:00.000Z,987905.1683168317
DF,TELA,2020-06-22,2020-06-23T01:38:00.000Z,247561.90217391305
RJ,NBRA,2020-05-04,2020-05-04T11:30:00.000Z,641118.5443037974
DF,MALH,2020-05-14,2020-05-14T21:01:00.000Z,157977.93548387097
PE1,SHT1,2020-05-19,2020-05-20T01:40:00.000Z,465967.6956521739
SP1,CBIL,2020-06-14,2020-06-14T18:56:00.000Z,1627844.7398373983
SP1,MISA,2020-05-10,2020-05-10T09:11:00.000Z,344701.4918032787
BH,NBRA,2020-06-17,2020-06-17T11:30:00.000Z,124441.13333333333
BH,FATI,2020-06-01,2020-06-01T13:01:00.000Z,82865.89915966387
PE1,VALE,2020-04-10,2020-04-10T19:56:00.000Z,745734.6
DF,HORA,2020-04-22,2020-04-22T07:00:00.000Z,14073.916666666666
PE1,MALH,2020-06-12,2020-06-12T21:03:00.000Z,491002.46428571426
DF,SSAB,2020-06-06,2020-06-06T17:06:00.000Z,107784.00934579439
SP1,JGLO,2020-05-28,2020-05-28T03:36:00.000Z,832988.95
BH,JHOJ,2020-05-19,2020-05-19T16:25:00.000Z,352361.5494505495
BH,PTV1,2020-05-02,2020-05-02T15:00:00.000Z,260852.45238095237
PE1,NBRA,2020-06-23,2020-06-23T11:30:00.000Z,155287.88888888888
PE1,COR1,2020-06-23,2020-06-23T05:36:00.000Z,29020.77380952381
PE1,COR2,2020-05-23,2020-05-23T06:43:00.000Z,36006.14606741573
PE1,VALE,2020-04-13,2020-04-13T19:40:00.000Z,807375.6202531646
RJ,VALE,2020-04-20,2020-04-20T19:51:00.000Z,1871125.3287671234
BH,SHT1,2020-06-09,2020-06-10T01:39:00.000Z,476821.2291666667
SP1,BPRA,2020-06-04,2020-06-04T09:00:00.000Z,555429.0268456376
PE1,VALE,2020-04-30,2020-04-30T19:43:00.000Z,882547.5466666666
BH,CASA,2020-05-09,2020-05-09T09:50:00.000Z,95141.09771986971
BH,N18H,2020-06-19,2020-06-19T21:38:00.000Z,689508.7222222222
SP1,COR3,2020-05-15,2020-05-15T07:40:00.000Z,336158.24324324325
SP1,TMAX,2020-04-19,2020-04-19T16:57:00.000Z,1173266.5471698113
RJ,COR1,2020-06-21,2020-06-21T05:23:00.000Z,372116.8453608247
SP1,TARA,2020-06-08,2020-06-08T17:56:00.000Z,1154557.9439252336
SP1,BIAL,2020-05-25,2020-05-25T04:35:00.000Z,937168.75
PE1,TELA,2020-05-25,2020-05-26T01:37:00.000Z,495641.2213114754
SP1,BPRA,2020-04-30,2020-04-30T09:00:00.000Z,505833.42281879194
DF,MALH,2020-06-09,2020-06-09T21:03:00.000Z,134475.5
DF,VALE,2020-06-24,2020-06-24T19:36:00.000Z,268794.61904761905
DF,FATI,2020-06-24,2020-06-24T13:00:00.000Z,70474.175
PE1,N18S,2020-05-09,2020-05-09T21:31:00.000Z,608439.075
BH,N19H,2020-06-12,2020-06-12T22:40:00.000Z,696056.7142857143
SP1,FATI,2020-04-29,2020-04-29T13:45:00.000Z,824596.1282051282
DF,PT2S,2020-05-16,2020-05-16T22:03:00.000Z,339294.1111111111
RJ,N18H,2020-06-15,2020-06-15T21:30:00.000Z,1625221.5526315789
DF,VALE,2020-05-05,2020-05-05T19:32:00.000Z,197466.53488372092
SP1,HORA,2020-06-29,2020-06-29T07:00:00.000Z,430753.23333333334
DF,MEPR,2020-05-09,2020-05-09T17:30:00.000Z,129542.45454545454
DF,FATI,2020-05-19,2020-05-19T13:43:00.000Z,71806.90909090909
RJ,BPRA,2020-04-09,2020-04-09T09:00:00.000Z,605928.77852349
RJ,COR1,2020-05-26,2020-05-26T05:38:00.000Z,287906.6341463415
BH,COR1,2020-06-27,2020-06-27T05:49:00.000Z,67340.3111111111
SP1,PTV2,2020-06-11,2020-06-11T22:07:00.000Z,2032404.0
PE1,TNOB,2020-06-16,2020-06-17T02:28:00.000Z,214254.0652173913
DF,BPRA,2020-04-29,2020-04-29T09:00:00.000Z,87740.97315436242
PE1,JNAC,2020-06-30,2020-06-30T23:30:00.000Z,812145.1014492754
BH,VALE,2020-06-01,2020-06-01T19:46:00.000Z,651774.3125
RJ,COR1,2020-04-24,2020-04-24T05:44:00.000Z,295342.8653846154
DF,PTV1,2020-06-26,2020-06-26T15:01:00.000Z,166844.5357142857
PE1,PTV1,2020-05-18,2020-05-18T15:01:00.000Z,300083.9761904762
SP1,N18H,2020-06-15,2020-06-15T21:30:00.000Z,1663581.8157894737
SP1,CORO,2020-05-14,2020-05-14T12:48:00.000Z,638985.2545454545
BH,BPRA,2020-04-09,2020-04-09T09:00:00.000Z,130305.46308724832
PE1,NBRA,2020-06-16,2020-06-16T11:30:00.000Z,177901.04395604396
PE1,BIAL,2020-06-01,2020-06-01T04:36:00.000Z,109520.48484848485
RJ,COR1,2020-06-25,2020-06-25T05:53:00.000Z,383228.5671641791
RJ,PTV2,2020-05-21,2020-05-21T22:08:00.000Z,1575955.3714285714
SP1,N19H,2020-06-02,2020-06-02T22:42:00.000Z,2952648.489361702
SP1,CINE,2020-06-03,2020-06-04T01:42:00.000Z,1939154.1037735848
SP1,MALH,2020-06-05,2020-06-05T21:10:00.000Z,1590024.8461538462
SP1,N20S,2020-05-16,2020-05-17T00:33:00.000Z,2986691.2786885244
BH,TELA,2020-04-13,2020-04-14T02:14:00.000Z,549341.7613636364
DF,VALE,2020-04-17,2020-04-17T19:36:00.000Z,282430.0777777778
BH,N19H,2020-05-11,2020-05-11T22:41:00.000Z,822213.4791666666
PE1,GLCO,2020-04-12,2020-04-12T10:27:00.000Z,173974.44444444444
DF,MISA,2020-06-07,2020-06-07T09:23:00.000Z,42763.33870967742
SP1,FATI,2020-06-22,2020-06-22T13:00:00.000Z,598826.4416666667
SP1,DOMA,2020-06-07,2020-06-08T02:04:00.000Z,990886.6442307692
DF,TARA,2020-06-19,2020-06-19T18:00:00.000Z,131933.3725490196
PE1,N20H,2020-05-25,2020-05-26T00:35:00.000Z,863866.8064516129
PE1,JHOJ,2020-05-26,2020-05-26T16:25:00.000Z,385991.23076923075
RJ,CORO,2020-04-27,2020-04-27T12:50:00.000Z,505526.2909090909
RJ,FATI,2020-04-27,2020-04-27T13:45:00.000Z,593975.4078947369
SP1,JHOJ,2020-05-27,2020-05-27T16:25:00.000Z,1143689.2
DF,VOIK,2020-04-19,2020-04-19T15:30:00.000Z,98312.74444444444
DF,BIAL,2020-06-04,2020-06-04T04:32:00.000Z,29987.555555555555
PE1,REPO,2020-04-17,2020-04-18T02:32:00.000Z,530487.804347826
RJ,EMPR,2020-05-10,2020-05-10T10:42:00.000Z,519850.3243243243
DF,HORA,2020-06-11,2020-06-11T07:00:00.000Z,17116.358333333334
PE1,REPO,2020-06-19,2020-06-20T01:20:00.000Z,658975.1276595745
DF,HORA,2020-05-26,2020-05-26T07:00:00.000Z,28268.766666666666
SP1,VALE,2020-05-11,2020-05-11T19:34:00.000Z,1648703.9772727273
BH,N19H,2020-06-04,2020-06-04T22:40:00.000Z,898923.1836734693
SP1,JNAC,2020-06-11,2020-06-11T23:30:00.000Z,2725403.85483871
DF,NBRA,2020-06-29,2020-06-29T11:30:00.000Z,81413.34831460674
RJ,NBRA,2020-04-17,2020-04-17T11:30:00.000Z,752546.6373626373
PE1,N20H,2020-06-12,2020-06-13T00:31:00.000Z,650646.5227272727
DF,JNAC,2020-06-05,2020-06-05T23:30:00.000Z,354080.04411764705
SP1,VALE,2020-04-28,2020-04-28T19:46:00.000Z,2271070.417721519
RJ,N19H,2020-06-29,2020-06-29T22:38:00.000Z,2123211.7647058824
SP1,TARA,2020-05-14,2020-05-14T17:58:00.000Z,1355936.0869565217
PE1,COR3,2020-05-16,2020-05-16T08:10:00.000Z,45400.17808219178
DF,N19H,2020-04-09,2020-04-09T22:43:00.000Z,301105.347826087
PE1,VOIK,2020-04-19,2020-04-19T15:30:00.000Z,351208.8888888889
DF,FATI,2020-05-21,2020-05-21T13:43:00.000Z,63913.0
RJ,SSAB,2020-05-16,2020-05-16T16:56:00.000Z,971142.9905660377
DF,COR1,2020-05-29,2020-05-29T05:14:00.000Z,26617.252032520326
BH,JNAC,2020-05-08,2020-05-08T23:30:00.000Z,805966.96875
BH,HUCK,2020-05-09,2020-05-09T18:54:00.000Z,407057.22580645164
DF,N19H,2020-04-13,2020-04-13T22:41:00.000Z,299495.0
BH,N20S,2020-04-18,2020-04-19T00:34:00.000Z,823362.2419354839
SP1,PTV1,2020-06-08,2020-06-08T15:02:00.000Z,917816.6097560975
BH,NBRA,2020-05-06,2020-05-06T11:30:00.000Z,130940.92592592593
BH,COR1,2020-06-26,2020-06-26T05:38:00.000Z,59366.255102040814
BH,N19S,2020-06-06,2020-06-06T22:42:00.000Z,825238.9574468085
RJ,_999,2020-04-18,2020-04-18T03:52:00.000Z,515165.73504273506
RJ,COR1,2020-04-27,2020-04-27T05:48:00.000Z,317490.15277777775
DF,HUCK,2020-04-11,2020-04-11T19:01:00.000Z,109346.3774834437
PE1,JHOJ,2020-05-27,2020-05-27T16:25:00.000Z,288073.6842105263
BH,BIGB,2020-04-23,2020-04-24T01:38:00.000Z,838873.4310344828
PE1,PTV2,2020-04-23,2020-04-23T22:09:00.000Z,825497.4333333333
RJ,TELA,2020-06-29,2020-06-30T01:36:00.000Z,1299061.495145631
DF,VALE,2020-06-17,2020-06-17T19:47:00.000Z,232727.0641025641
DF,SAME,2020-06-04,2020-06-04T05:18:00.000Z,27883.657142857144
SP1,CINE,2020-05-06,2020-05-07T01:45:00.000Z,1459681.9743589743
PE1,EREG,2020-05-09,2020-05-09T03:54:00.000Z,108801.13793103448
BH,BPRA,2020-06-11,2020-06-11T09:00:00.000Z,69760.57718120805
DF,FATI,2020-06-25,2020-06-25T13:00:00.000Z,84404.96666666666
BH,JGLO,2020-05-05,2020-05-05T03:16:00.000Z,330517.10447761195
RJ,N18H,2020-05-29,2020-05-29T21:33:00.000Z,1441114.972972973
DF,MALH,2020-05-18,2020-05-18T21:06:00.000Z,182901.55555555556
BH,JHOJ,2020-05-21,2020-05-21T16:25:00.000Z,286002.84269662923
SP1,ANTE,2020-05-24,2020-05-24T10:27:00.000Z,520687.78571428574
RJ,AUTO,2020-04-19,2020-04-19T12:30:00.000Z,596297.0
PE1,VALE,2020-04-15,2020-04-15T19:40:00.000Z,964537.6097560975
SP1,JGLO,2020-04-17,2020-04-17T03:18:00.000Z,915324.0322580645
DF,N18H,2020-06-29,2020-06-29T21:28:00.000Z,216512.65789473685
BH,BIAL,2020-06-24,2020-06-24T04:20:00.000Z,43401.205128205125
PE1,NBRA,2020-04-20,2020-04-20T11:30:00.000Z,246779.30952380953
DF,JGLO,2020-05-20,2020-05-20T03:34:00.000Z,39434.454545454544
RJ,NBRA,2020-05-08,2020-05-08T11:30:00.000Z,607967.4634146341
SP1,NBRA,2020-04-13,2020-04-13T11:30:00.000Z,885923.4333333333
SP1,FATI,2020-05-29,2020-05-29T12:59:00.000Z,524005.02479338844
BH,MALH,2020-06-25,2020-06-25T21:07:00.000Z,792003.3636363636
DF,N20H,2020-04-13,2020-04-14T00:28:00.000Z,322052.3548387097
RJ,GRUD,2020-05-17,2020-05-17T11:36:00.000Z,628974.0566037736
BH,N20H,2020-05-12,2020-05-13T00:36:00.000Z,870067.475409836
BH,BPRA,2020-05-13,2020-05-13T09:00:00.000Z,77689.1744966443
SP1,N19H,2020-04-15,2020-04-15T22:41:00.000Z,2588196.3541666665
RJ,REPO,2020-06-05,2020-06-06T01:25:00.000Z,1279352.3189655172
RJ,VALE,2020-06-25,2020-06-25T19:35:00.000Z,1556979.5795454546
PE1,N18H,2020-04-13,2020-04-13T21:35:00.000Z,702108.3939393939
DF,SUCI,2020-04-25,2020-04-25T04:31:00.000Z,22544.333333333332
BH,JHOJ,2020-06-10,2020-06-10T16:25:00.000Z,240539.4947368421
SP1,PTV2,2020-05-13,2020-05-13T22:09:00.000Z,2219790.0
DF,SSUP,2020-05-01,2020-05-02T02:20:00.000Z,93449.08163265306
SP1,MALH,2020-05-20,2020-05-20T21:05:00.000Z,1600191.9375
RJ,PTV2,2020-06-16,2020-06-16T22:09:00.000Z,1915083.65625
DF,N20H,2020-04-15,2020-04-16T00:36:00.000Z,417662.3333333333
BH,VALE,2020-06-26,2020-06-26T19:50:00.000Z,716562.0909090909
DF,N18H,2020-06-19,2020-06-19T21:33:00.000Z,201438.54285714286
SP1,SERA,2020-04-18,2020-04-18T08:59:00.000Z,413474.6274509804
BH,NBRA,2020-05-07,2020-05-07T11:30:00.000Z,229594.8987341772
DF,SERA,2020-05-23,2020-05-23T08:57:00.000Z,18445.5
RJ,HORA,2020-05-20,2020-05-20T07:00:00.000Z,230729.13333333333
RJ,N19H,2020-05-20,2020-05-20T22:45:00.000Z,2177256.522727273
DF,BIAL,2020-06-17,2020-06-17T04:26:00.000Z,24206.8125
BH,BIGB,2020-04-26,2020-04-27T01:43:00.000Z,495768.30188679247
PE1,PT2S,2020-04-18,2020-04-18T22:14:00.000Z,893126.7692307692
PE1,ESAR,2020-05-09,2020-05-09T17:30:00.000Z,261078.35897435897
RJ,SHOV,2020-05-31,2020-05-31T15:30:00.000Z,714122.6376811594
SP1,PTV2,2020-06-30,2020-06-30T22:05:00.000Z,2059208.5882352942
DF,N20H,2020-05-08,2020-05-09T00:34:00.000Z,345331.3333333333
RJ,PTV1,2020-05-25,2020-05-25T15:02:00.000Z,1068139.5609756098
SP1,NBRA,2020-06-04,2020-06-04T11:30:00.000Z,723759.4545454546
SP1,FANT,2020-05-17,2020-05-17T23:00:00.000Z,1920214.5477707007
BH,PTV2,2020-05-01,2020-05-01T22:16:00.000Z,813544.4838709678
BH,BPRA,2020-05-01,2020-05-01T08:59:00.000Z,85070.7
SP1,NBRA,2020-06-24,2020-06-24T11:30:00.000Z,636071.6741573034
DF,MEPR,2020-05-02,2020-05-02T17:33:00.000Z,132261.70454545456
BH,COR2,2020-05-08,2020-05-08T07:03:00.000Z,90223.52212389381
SP1,MALH,2020-04-22,2020-04-22T21:05:00.000Z,1720751.1666666667
DF,SAME,2020-05-13,2020-05-13T04:32:00.000Z,26497.3125
BH,PTV1,2020-06-18,2020-06-18T15:00:00.000Z,229641.27380952382
DF,JHOJ,2020-05-15,2020-05-15T16:25:00.000Z,236378.96842105262
PE1,MALH,2020-05-13,2020-05-13T21:06:00.000Z,753487.0
RJ,VALE,2020-05-12,2020-05-12T19:38:00.000Z,1365748.0
SP1,PTV2,2020-05-05,2020-05-05T22:07:00.000Z,2057552.3235294118
DF,NBRA,2020-06-18,2020-06-18T11:30:00.000Z,108602.15463917526
BH,PTV2,2020-04-27,2020-04-27T22:10:00.000Z,892933.90625
SP1,CASA,2020-04-25,2020-04-25T09:50:00.000Z,508422.03225806454
BH,N19H,2020-06-11,2020-06-11T22:39:00.000Z,964394.28
BH,TARA,2020-06-12,2020-06-12T18:00:00.000Z,230275.13636363635
PE1,PTV1,2020-06-11,2020-06-11T15:01:00.000Z,264565.2261904762
SP1,NBRA,2020-06-30,2020-06-30T11:30:00.000Z,812416.7303370787
PE1,NBRA,2020-04-22,2020-04-22T11:30:00.000Z,279533.87341772154
DF,BPRA,2020-06-23,2020-06-23T09:00:00.000Z,91218.93288590603
PE1,N18H,2020-05-07,2020-05-07T21:31:00.000Z,710642.5853658536
SP1,COR1,2020-05-11,2020-05-11T05:50:00.000Z,453329.7428571429
PE1,N19H,2020-04-15,2020-04-15T22:40:00.000Z,1040326.7142857143
BH,JHOJ,2020-05-16,2020-05-16T16:05:00.000Z,373707.3725490196
SP1,TARA,2020-06-11,2020-06-11T17:56:00.000Z,993091.595959596
SP1,PTV2,2020-04-20,2020-04-20T22:11:00.000Z,2190607.90625
BH,SHT1,2020-06-16,2020-06-17T01:33:00.000Z,478125.0740740741
SP1,BIGB,2020-04-09,2020-04-10T01:33:00.000Z,2684603.3125
BH,TARA,2020-06-01,2020-06-01T17:56:00.000Z,334911.623853211
DF,MALH,2020-06-22,2020-06-22T21:03:00.000Z,172688.14814814815
